state,dem_candidate,gop_candidate,current_holder,polling_margin_dem,fundamentals_margin_dem,elasticity,dem_win_counts_for_seat_change,race_tier,notes,tier_error_multiplier,polling_active,candidate_status_as_of,poll_count,latest_poll_end_date,avg_poll_age_days,bayesian_polling_weight,pre_bayes_model_margin_dem,bayesian_model_margin_dem,bayesian_posterior_sd
Alaska,Mary Peltola / Dem-Ind field,Dan Sullivan,R,-6.0,-6.007402759975445,0.65,1,Likely,Republican-held; Sullivan incumbent; Democratic/independent field may include Mary Peltola.,0.85,True,2026-05-23,,,,0.4584055459272097,-6.013668456018662,-6.007402759975445,4.758202841602318
Colorado,John Hickenlooper,Republican nominee TBD,D,9.0,9.007402759975447,0.85,1,Safe,Democratic-held,0.65,False,2026-05-23,,,,0.4584055459272097,9.013668456018664,9.007402759975447,4.758202841602318
Delaware,Chris Coons,Republican nominee TBD,D,15.0,15.014805519950892,0.75,1,Safe,Democratic-held,0.65,False,2026-05-23,,,,0.4584055459272097,15.027336912037326,15.014805519950892,4.758202841602318
Illinois,Juliana Stratton,Don Tracy,D-open,14.0,14.007402759975449,0.75,1,Safe,Open Democratic-held seat; Durbin retiring; current reporting identifies Stratton and Tracy as nominees/primary winners.,0.65,False,2026-05-23,,,,0.4584055459272097,14.013668456018664,14.007402759975449,4.758202841602318
Massachusetts,Ed Markey,Republican nominee TBD,D,25.0,25.014805519950894,0.6,1,UltraSafe,Democratic-held,0.45,False,2026-05-23,,,,0.4584055459272097,25.027336912037324,25.014805519950894,4.758202841602318
New Jersey,Cory Booker,Republican nominee TBD,D,11.0,11.007402759975445,0.85,1,Safe,Democratic-held,0.65,False,2026-05-23,,,,0.4584055459272097,11.013668456018662,11.007402759975445,4.758202841602318
New Mexico,Ben Ray Lujan,Republican nominee TBD,D,9.0,9.007402759975447,0.9,1,Safe,Democratic-held,0.65,False,2026-05-23,,,,0.4584055459272097,9.013668456018664,9.007402759975447,4.758202841602318
Oregon,Jeff Merkley,David Brock Smith,D,14.0,14.007402759975449,0.8,1,Safe,Democratic-held; David Brock Smith listed as GOP nominee in current reporting.,0.65,False,2026-05-23,,,,0.4584055459272097,14.013668456018664,14.007402759975449,4.758202841602318
Rhode Island,Jack Reed,Republican nominee TBD,D,22.0,22.014805519950894,0.65,1,UltraSafe,Democratic-held,0.45,False,2026-05-23,,,,0.4584055459272097,22.027336912037327,22.014805519950894,4.758202841602318
Virginia,Mark Warner,Republican nominee TBD,D,7.0,7.007402759975446,0.95,1,Likely,Democratic-held,0.85,True,2026-05-23,,,,0.4584055459272097,7.013668456018664,7.007402759975446,4.758202841602318
Alabama,Democratic nominee TBD,Republican nominee TBD,R-open,-25.0,-25.014805519950894,0.55,1,UltraSafe,Open Republican-held seat; Tommy Tuberville not seeking Senate reelection.,0.45,False,2026-05-23,,,,0.4584055459272097,-25.027336912037324,-25.014805519950894,4.758202841602318
Arkansas,Democratic nominee TBD,Tom Cotton,R,-28.0,-28.014805519950897,0.5,1,UltraSafe,Republican-held,0.45,False,2026-05-23,,,,0.4584055459272097,-28.027336912037327,-28.014805519950897,4.758202841602318
Idaho,Democratic nominee TBD,Republican nominee TBD,R,-30.0,-30.014805519950897,0.45,1,UltraSafe,Republican-held,0.45,False,2026-05-23,,,,0.4584055459272097,-30.027336912037327,-30.014805519950897,4.758202841602318
Kansas,Democratic nominee TBD,Roger Marshall,R,-16.0,-16.01480551995089,0.7,1,Safe,Republican-held,0.65,False,2026-05-23,,,,0.4584055459272097,-16.027336912037327,-16.01480551995089,4.758202841602318
Kentucky,Pamela Stevenson / Charles Booker / Amy McGrath primary,Andy Barr / Daniel Cameron primary,R-open,-20.0,-20.01480551995089,0.6,1,Safe,Open Republican-held seat; McConnell retiring; GOP primary field includes Barr and Cameron.,0.65,False,2026-05-23,,,,0.4584055459272097,-20.027336912037324,-20.01480551995089,4.758202841602318
Louisiana,Democratic nominee TBD,Julia Letlow / John Fleming runoff,R,-18.0,-18.01480551995089,0.6,1,Safe,Republican-held; current summaries indicate GOP runoff after Cassidy primary loss.,0.65,False,2026-05-23,,,,0.4584055459272097,-18.027336912037324,-18.01480551995089,4.758202841602318
Mississippi,Democratic nominee TBD,Cindy Hyde-Smith,R,-17.0,-17.01480551995089,0.6,1,Safe,Republican-held,0.65,False,2026-05-23,,,,0.4584055459272097,-17.027336912037324,-17.01480551995089,4.758202841602318
Montana,Democratic nominee TBD,Republican nominee TBD,R-open,-15.0,-15.014805519950892,0.65,1,Safe,Open Republican-held seat; Daines not seeking reelection per current race summaries.,0.65,False,2026-05-23,,,,0.4584055459272097,-15.027336912037326,-15.014805519950892,4.758202841602318
Nebraska,Democratic / Independent nominee TBD,Pete Ricketts,R,-18.0,-18.01480551995089,0.55,1,Safe,Republican-held,0.65,False,2026-05-23,,,,0.4584055459272097,-18.027336912037324,-18.01480551995089,4.758202841602318
Oklahoma,Troy Green / Jim Priest / N'Kiyla Thomas primary,Kevin Hern / William Buckner / Gary Ty England / GOP primary,R-open,-30.0,-30.014805519950897,0.45,1,UltraSafe,Open Republican-held seat per current race summaries.,0.45,False,2026-05-23,,,,0.4584055459272097,-30.027336912037327,-30.014805519950897,4.758202841602318
South Carolina,Annie Andrews / Brandon Brown / Kyle Freeman primary,Lindsey Graham / Republican primary,R,-12.0,-12.01480551995089,0.7,1,Safe,Republican-held; Graham incumbent running.,0.65,False,2026-05-23,,,,0.4584055459272097,-12.027336912037324,-12.01480551995089,4.758202841602318
South Dakota,Democratic nominee TBD,Mike Rounds,R,-25.0,-25.014805519950894,0.5,1,UltraSafe,Republican-held,0.45,False,2026-05-23,,,,0.4584055459272097,-25.027336912037324,-25.014805519950894,4.758202841602318
Tennessee,Democratic nominee TBD,Bill Hagerty,R,-22.0,-22.014805519950894,0.55,1,UltraSafe,Republican-held,0.45,False,2026-05-23,,,,0.4584055459272097,-22.027336912037327,-22.014805519950894,4.758202841602318
West Virginia,Democratic nominee TBD,Shelley Moore Capito,R,-30.0,-30.014805519950897,0.45,1,UltraSafe,Republican-held,0.45,False,2026-05-23,,,,0.4584055459272097,-30.027336912037327,-30.014805519950897,4.758202841602318
Wyoming,James W. Byrd,Harriet Hageman / Sam Mead / Jimmy Skovgard primary,R-open,-35.0,-35.0148055199509,0.4,1,UltraSafe,Open Republican-held seat per current summaries.,0.45,False,2026-05-23,,,,0.4584055459272097,-35.02733691203733,-35.0148055199509,4.758202841602318
